condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,tag_positionable,tag_total,rmse_tag_mm,rmse_tag_h_mm,rmse_tag_v_mm,rmse_tag_trueanchor_mm,delta_rmse_tag_mm,delta_rmse_tag_h_mm,delta_rmse_tag_v_mm,coverage,coverage_100mm,pdop_true,pdop_est,vdop_true,vdop_est,pdop_overconfidence,compute_time_s,r_max_mm,known_z_max_mm,height_pattern,unknown_z_std_mm
0,0,8,known,3,100.0,300.0,150.0,2555.572142445639,117.28868475539657,2552.8792254379255,1739.6761465750233,69.19247647945176,1738.2995990797335,1.0,1.0,26.0,1301.3119359003265,194.10514565824278,64.96486189752392,882.0,882.0,2449.466226304963,119.3701610832609,2446.5558563931527,5514.279292135549,-3064.8130658305863,4.457086898076852,-3066.5259584411097,0.049886621315192746,0.012471655328798186,11.82151237126152,7.652624939839084,11.800100890060442,7.614893888301038,3.2008183408456308,0.5119727000128478,150000.0,2900.0,H0,0.0
0,1,8,known,3,100.0,300.0,150.0,2048.724090371772,104.10228498546145,2046.0774943120925,1612.536714257201,67.51075629413413,1611.1228856334965,1.0,1.0,32.0,1099.6222266584452,229.62410289707324,97.70774023489462,882.0,882.0,2280.214601993335,115.25391595586915,2277.299972774878,5788.308244953163,-3508.0936429598282,2.9221251000369506,-3509.9181765051267,0.049886621315192746,0.01927437641723356,11.818631200188214,8.293249072336824,11.794642455263054,8.260213540104921,2.749482840928144,0.3746417999500409,150000.0,2900.0,H0,0.0
0,2,8,known,3,100.0,300.0,150.0,1441.2367993972082,54.18187297587715,1440.2179823129325,357.38680001689585,43.517717676411976,354.7274067147234,1.0,1.0,204.0,327.57653208079097,766.8587530313121,80.85189771236497,882.0,882.0,11502.151086065625,269.1036040132217,11499.00268966782,5770.513152821174,5731.637933244451,150.921951669836,5729.699859695072,0.01473922902494331,0.0022675736961451248,11.979745217768414,8.552815704678085,11.956815208240377,8.520119213448918,13.448379438100552,1.3183945999480784,150000.0,2900.0,H0,0.0
0,3,8,known,3,100.0,300.0,150.0,1169.5613988620917,68.3457708694319,1167.5627269284148,1138.7435400143534,42.036260201497335,1137.9673996880108,1.0,1.0,42.0,1314.955380425306,192.06736106015305,73.39813227418523,882.0,882.0,2172.1004968093102,121.85148271409165,2168.6799635722255,5607.148712561255,-3435.0482157519446,9.025883902941004,-3437.3335102815654,0.07029478458049887,0.02040816326530612,11.288047686776848,9.450034897146866,11.265628969266618,9.419628508277501,2.298510556257423,0.933459399966523,150000.0,2900.0,H0,0.0
0,4,8,known,3,100.0,300.0,150.0,3112.5671958486964,105.63837518643473,3110.7740326744065,1371.666555427107,56.07442259051737,1370.5199007706544,1.0,1.0,37.0,1249.7511112060106,202.37381482349642,79.08996273220644,882.0,882.0,3871.1512581990773,148.01323725382886,3868.320584627642,5903.297971320546,-2032.1467131214686,29.68349845694833,-2033.7913264693966,0.026077097505668934,0.005668934240362812,11.960376382381156,6.112994589125126,11.938941836134255,6.0658463039448005,6.332659389369924,0.6142308000125922,150000.0,2900.0,H0,0.0
0,5,8,known,3,100.0,300.0,150.0,3522.466245714961,172.98908504510638,3518.215915582287,1463.8482115292481,57.034783714346744,1462.7366884863577,1.0,1.0,37.0,1393.1729799490183,181.36271124531655,86.25643257827302,882.0,882.0,4266.396532749455,171.64285891772994,4262.942423214173,6127.420514687008,-1861.023981937553,56.198584424839055,-1863.390475289957,0.017006802721088437,0.0045351473922902496,11.422563337873164,5.432810367546475,11.399779347399814,5.375699072473806,7.853019421099752,0.5571203000145033,150000.0,2900.0,H0,0.0
0,6,8,known,3,100.0,300.0,150.0,1913.3005308880174,107.0384103724107,1910.3040857940175,1249.424731408961,64.65212929754082,1247.7508812393796,1.0,1.0,26.0,1994.9173680341469,126.09055460333258,61.50847687472871,882.0,882.0,2632.7302817226705,132.37981705446546,2629.399992457625,5789.788086083921,-3157.057804361251,18.07360130759247,-3159.2596253469105,0.047619047619047616,0.009070294784580499,11.345938486828082,9.386324199714025,11.323305940304845,9.354922834523787,2.804857605283741,0.5412388000404462,150000.0,2900.0,H0,0.0
0,7,8,known,3,100.0,300.0,150.0,1990.681641503786,54.53866392655295,1989.934403933284,1215.6315542737107,31.548617938215486,1215.2221033424737,1.0,1.0,43.0,2056.5605329860377,122.9196416327139,66.75220806277585,882.0,882.0,2163.0298018166573,129.43276022265272,2159.1537889016045,6215.001157273621,-4051.971355456964,10.39406497465454,-4054.7072631292594,0.061224489795918366,0.017006802721088437,11.566695456143204,9.321589484379047,11.544649309400086,9.287174799829714,2.3204516841697695,0.8099656999693252,150000.0,2900.0,H0,0.0
0,8,8,known,3,100.0,300.0,150.0,2312.165885222189,68.96173918326632,2311.1372437209625,1216.6031390608694,43.90228160381121,1215.8107532189133,1.0,1.0,87.0,848.4650627391721,297.8992090641302,94.31898745507469,882.0,882.0,3063.089301727082,122.0696057683612,3060.6559887877725,6164.453990981747,-3101.364689254665,6.034074313526361,-3102.7058180811687,0.03741496598639456,0.007936507936507936,11.414623016809772,6.155418533972889,11.392236754133874,6.108560973873452,4.9762486252093625,0.6950013000168838,150000.0,2900.0,H0,0.0
0,9,8,known,3,100.0,300.0,150.0,2837.790840468582,140.07988314702553,2834.3313992165586,1610.1434498468923,71.93419026083616,1608.5357942415733,1.0,1.0,45.0,2406.7574584912218,104.94767333612972,68.05710290047912,882.0,882.0,2585.8879335787624,148.57450986062767,2581.616164352849,5893.5808790472665,-3307.692945468504,31.20512952723415,-3310.795905965359,0.06462585034013606,0.017006802721088437,11.880307575002439,9.259341015542702,11.858897357300958,9.216279194258775,2.792734309318664,0.5812001000158489,150000.0,2900.0,H0,0.0
