condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,compute_time_s,r_max_mm,known_z_max_mm
0,22,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,108.03427403014756,0.0008054350000747945,150000.0,2900.0
0,23,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,71.78141863223304,0.0008045729991863482,150000.0,2900.0
0,24,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,61.825634590763336,0.0007424319992423989,150000.0,2900.0
0,25,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,63.18252514617069,0.0007383229967672378,150000.0,2900.0
0,26,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,99.98766620862881,0.0008004759984032717,150000.0,2900.0
0,27,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,177.0087596670285,0.000555591999727767,150000.0,2900.0
0,28,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,81.68412752206676,0.0005036149996158201,150000.0,2900.0
0,29,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,119.835924375082,0.0014335070009110495,150000.0,2900.0
0,30,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,89.70097911466233,0.0024577080002927687,150000.0,2900.0
0,31,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,67.96141873195891,0.0007475730017176829,150000.0,2900.0
0,32,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,60.400401192190905,0.0008177960007742513,150000.0,2900.0
0,33,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,59.63391669573362,0.0007078409980749711,150000.0,2900.0
0,34,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,116.15620031817703,0.000621174000116298,150000.0,2900.0
0,35,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,141.67791667773716,0.0006174469999677967,150000.0,2900.0
0,36,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,70.23000235332727,0.0005685550022462849,150000.0,2900.0
0,37,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,106.34633414530272,0.0005898599993088283,150000.0,2900.0
0,38,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,70.35346079426911,0.0005047160011599772,150000.0,2900.0
0,39,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,86.554989147223,0.0006092050025472417,150000.0,2900.0
0,40,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,136.97499697195389,0.0005254819989204407,150000.0,2900.0
0,41,4,known,3,100.0,300.0,150.0,0.0,0.0,0.0,3.04283835273143e-11,2.5204656522966648e-11,1.7047340368650082e-11,1.0,1.0,0.0,0.0,inf,75.37894992963541,0.0005336999965948053,150000.0,2900.0
