condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,compute_time_s,r_max_mm
0,0,8,known,3,30.0,300.0,150.0,1506.7066934313245,34.77891347663727,1506.3052437033273,920.872108673409,20.726924647205994,920.6388190421256,1.0,1.0,27.0,855.8209879477552,295.20818972771843,19.37313623735691,0.010645424998074304,150000.0
0,1,8,known,3,30.0,300.0,150.0,1435.3764637014467,37.78527002247428,1434.8790422601478,884.1764579925739,21.033667877062367,883.9262376940347,1.0,1.0,25.0,710.9370282842749,355.22422839938116,28.293526884931648,0.007437598000251455,150000.0
0,2,8,known,3,30.0,300.0,150.0,626.8303487838295,14.894977312152415,626.6533537828772,214.59050331265033,12.844090201006518,214.20577363573793,1.0,1.0,72.0,752.3075749651232,333.78482136378994,24.038740034742588,0.02422245899651898,150000.0
0,3,8,known,3,30.0,300.0,150.0,640.6699049711204,22.05617251297029,640.2901314168308,611.2309608677621,12.465084340995398,611.1038448542929,1.0,1.0,32.0,1186.5837568290424,212.9055341623934,21.941715938439163,0.008045003000006545,150000.0
0,4,8,known,3,30.0,300.0,150.0,1043.3999026769447,17.63654407455973,1043.2508371524864,584.6250136701007,17.141771542693252,584.3736529628483,1.0,1.0,47.0,849.5607510632266,297.6952179745159,24.085381750957154,0.015643687998817768,150000.0
0,5,8,known,3,30.0,300.0,150.0,2638.3532022193353,84.79164799816026,2636.990329161405,877.7072198143424,19.428719066053315,877.4921587055205,1.0,1.0,28.0,815.5715486639353,309.8363896248497,25.600286779960165,0.008657361999212299,150000.0
0,6,8,known,3,30.0,300.0,150.0,874.5963231543553,30.847093694214127,874.0521639385935,641.2425801191034,20.29262811661204,640.9214115645736,1.0,1.0,25.0,1394.0095035127558,180.3845190321776,18.801565744474406,0.0067141450017516036,150000.0
0,7,8,known,3,30.0,300.0,150.0,878.7193854070309,12.415671656652327,878.6316687824451,626.912392473324,9.761092458165045,626.8363972446481,1.0,1.0,32.0,1409.1554201376005,179.42869419752176,19.72688627101435,0.006976012002269272,150000.0
0,8,8,known,3,30.0,300.0,150.0,1803.491067650972,30.33073740903331,1803.2360015996426,688.9044855629277,13.165718300093124,688.7786684344721,1.0,1.0,75.0,524.1410341280081,482.18874945057127,27.615955294326422,0.023165680999227334,150000.0
0,9,8,known,3,30.0,300.0,150.0,1434.587250275299,41.936948729202165,1433.9741528297252,949.4289173366622,23.060384758011452,949.148822751142,1.0,1.0,37.0,1539.5921292459898,164.0384412061651,19.971787537811103,0.020034954002767336,150000.0
0,10,8,known,3,30.0,300.0,150.0,672.9985282665621,18.74906490244721,672.7373124884946,490.18467217318016,11.664984125469458,490.0458559960288,1.0,1.0,26.0,1286.218283236717,196.4438063142059,19.919888173124793,0.011976316000072984,150000.0
0,11,8,known,3,30.0,300.0,150.0,563.2356634883496,18.64617338046691,562.92693384082,545.2527664614767,14.801617114597933,545.0518245677987,1.0,1.0,53.0,1181.86542896035,213.96442255776392,21.39267696044396,0.01574415800132556,150000.0
0,12,8,known,3,30.0,300.0,150.0,566.2321200067311,15.950585427053483,566.007413866507,410.67736659732725,12.221465701991871,410.4954752630174,1.0,1.0,47.0,952.1113184072118,265.27457646122167,17.697425794932176,0.016688275001797592,150000.0
