condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,compute_time_s,r_max_mm,known_z_max_mm
0,0,8,known,3,100.0,300.0,150.0,2090.8544628455065,105.99114758533675,2088.1662437254645,1798.9562842757985,69.30665610162977,1797.62073312348,1.0,1.0,42.0,1261.109217571861,200.29277230560038,65.92293515247371,0.03181305000180146,150000.0,1500.0
0,1,8,known,3,100.0,300.0,150.0,1733.362311669741,80.78139199383,1731.4789257235007,1638.0520461658455,66.13405311258097,1636.7164668833193,1.0,1.0,42.0,1057.310927078782,238.81177738169228,99.7598723356165,0.020098741999390768,150000.0,1500.0
0,2,8,known,3,100.0,300.0,150.0,107.19067689891148,50.38770250273387,94.60930530631128,74.41883401921528,43.70781880246603,60.23113341379448,1.0,1.0,204.0,0.34033232696022714,738118.7561893823,81.65708593551788,0.24863861199992243,150000.0,1500.0
0,3,8,known,3,100.0,300.0,150.0,1286.5528094843996,70.50877889034173,1284.6192602057602,1173.9782907368315,42.860436941221124,1173.1956401498346,1.0,1.0,73.0,788.2126451890517,320.422118422124,73.60869918330313,0.06688645800022641,150000.0,1500.0
0,4,8,known,3,100.0,300.0,150.0,2063.4916169024314,66.88482469548403,2062.4073490103897,1347.6083125596374,52.31613602051339,1346.5924349972106,1.0,1.0,37.0,1247.6091205736325,202.7212143481756,78.90572841957115,0.038815257998066954,150000.0,1500.0
0,5,8,known,3,100.0,300.0,150.0,2251.5909906703328,97.6604646653311,2249.472032035331,1427.5290318565799,53.53050375859092,1426.5250162407726,1.0,1.0,34.0,1346.8424499346524,187.59980057237283,87.2927101963819,0.02174395700058085,150000.0,1500.0
0,6,8,known,3,100.0,300.0,150.0,2871.01942233149,89.24557903391481,2869.6319886054284,1319.4270437137902,58.24023994243006,1318.1410387871097,1.0,1.0,38.0,1732.896479049923,145.14301492064138,61.640650419244956,0.023251913000422064,150000.0,1500.0
0,7,8,known,3,100.0,300.0,150.0,3066.2807868538735,100.23275576096451,3064.6421093664053,1379.1577115439359,31.02908282648443,1378.8086122918053,1.0,1.0,72.0,1814.3998954985448,139.3252068526057,67.23795347237612,0.06790497200199752,150000.0,1500.0
0,8,8,known,3,100.0,300.0,150.0,1466.2051396354852,76.35065468735719,1464.215861484339,1187.1671502668416,47.38635143050497,1186.2210486965735,1.0,1.0,86.0,826.334228918349,305.8733666401731,95.89088856310164,0.09889649500109954,150000.0,1500.0
0,9,8,known,3,100.0,300.0,150.0,3945.8063044091596,173.6660379542445,3941.9826863110834,1514.526256634665,71.61988699057868,1512.8319053428468,1.0,1.0,62.0,2250.431353502395,112.23718817677363,69.44399011202711,0.06837525399896549,150000.0,1500.0
