condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,tag_positionable,tag_total,rmse_tag_mm,rmse_tag_h_mm,rmse_tag_v_mm,rmse_tag_trueanchor_mm,delta_rmse_tag_mm,delta_rmse_tag_h_mm,delta_rmse_tag_v_mm,coverage,coverage_100mm,pdop_true,pdop_est,vdop_true,vdop_est,pdop_overconfidence,compute_time_s,r_max_mm,known_z_max_mm
0,16,8,known,3,100.0,300.0,150.0,4096.77426594455,204.27665517894403,4091.678192900123,1554.2294216991725,65.07071067148568,1552.8666709953086,1.0,1.0,81.0,1652.3974786543988,151.8341046180228,64.57970512516843,882.0,882.0,4192.39789283811,197.18725679039963,4187.758025200705,6258.024559397156,-2065.6266665590456,78.87414756698657,-2069.1480308467944,0.030612244897959183,0.01020408163265306,11.647276453038428,5.050925312350234,11.625428298764549,4.987469036340576,8.300257148105315,0.31254591300239554,150000.0,2900.0
0,17,8,known,3,100.0,300.0,150.0,1825.021333175893,53.489635424459934,1824.2372996540971,1585.929438587462,49.88999787780471,1585.1445272561411,1.0,1.0,40.0,1849.4628871883615,137.03827415283854,107.30014848302126,882.0,882.0,2331.902093274813,116.8251693528512,2328.9738625465793,5873.851992196193,-3541.9498989213803,1.904126584145331,-3543.7538154712042,0.046485260770975055,0.01473922902494331,11.676898484735162,8.979725765597582,11.655056708149363,8.947355365553044,2.596852235965393,0.3199895129982906,150000.0,2900.0
0,18,8,known,3,100.0,300.0,150.0,2876.675991429674,98.87344371118742,2874.9763132583525,918.1207163109044,32.95262875963121,917.5291679162457,1.0,1.0,60.0,2703.0498400982265,93.38539567503267,91.06013365847154,882.0,882.0,2698.1690325353466,160.19609565770546,2693.4092409191653,5903.248944385509,-3205.0799118501627,42.09355142132726,-3208.6581840119934,0.03968253968253968,0.012471655328798186,11.495674006791731,9.221542977721562,11.472289863283187,9.187363668778252,2.925940961348753,0.2992508489987813,150000.0,2900.0
0,19,8,known,3,100.0,300.0,150.0,2451.179085203294,144.67765232006494,2446.905655038055,1099.6980658960756,89.1557654812528,1096.0780472288557,1.0,1.0,64.0,2418.7090285109484,104.2209200563582,65.37143953849336,882.0,882.0,2811.297930040531,150.08166200057096,2807.2890029673326,5909.5753812294615,-3098.2774511889306,34.48187953559011,-3101.1556211894676,0.048752834467120185,0.011337868480725623,11.522114542073885,9.708933652861127,11.499988297894946,9.669620407770955,2.8955784749976834,0.29388292399744387,150000.0,2900.0
0,20,8,known,3,100.0,300.0,150.0,1382.2215288555526,54.74572040235376,1381.136945030944,1077.155066391774,39.08321424478253,1076.4457902828935,1.0,1.0,28.0,1233.2869122937336,205.2535235967739,70.56667416649023,882.0,882.0,3854.3648935616898,136.7411487894514,3851.938549736815,5873.882001406155,-2019.517107844465,14.621039220696886,-2020.6738540645874,0.03968253968253968,0.011337868480725623,11.539202868149037,11.262547971465183,11.517252554991622,11.23247323300698,3.4222849956573924,0.2891497909986356,150000.0,2900.0
0,21,8,known,3,100.0,300.0,150.0,2933.174591350291,86.02516922171728,2931.9128318562475,1120.1172636307563,48.51383838990008,1119.0661695218616,1.0,1.0,28.0,2663.4867887454907,94.72248126649208,76.46699107689092,882.0,882.0,2702.779803993037,151.79453697944354,2698.5138664486863,6497.206133815278,-3794.426329822241,33.793394017708266,-3797.620620732641,0.03968253968253968,0.007936507936507936,11.136633303951605,8.617192533444076,11.113984320578822,8.579772095174278,3.1364969431787824,0.26191208899763296,150000.0,2900.0
0,22,8,known,3,100.0,300.0,150.0,926.9673875634348,83.78663618395892,923.1729725263604,620.6162506939442,58.72927209146475,617.8312093323024,1.0,1.0,216.0,1330.59372521608,189.65204467204555,85.39528778927522,882.0,882.0,4756.521399908877,139.12486852818506,4754.486312815309,6058.706627646743,-1302.1852277378657,22.368726545614308,-1303.095218059857,0.027210884353741496,0.007936507936507936,11.894208816931265,14.1634890339111,11.872791241361186,14.138223875272168,3.3582977954941184,0.4582580499991309,150000.0,2900.0
0,23,8,known,3,100.0,300.0,150.0,420.1521968656551,53.86883228678073,416.6845538763045,346.91683438206184,35.36752634149302,345.10929871296537,1.0,1.0,152.0,1081.21706841864,233.39626343863313,93.03873108039414,882.0,882.0,4965.980117656617,107.43678437047933,4964.817807968885,6339.758983548477,-1373.7788658918598,-10.243822472503467,-1373.8488692004303,0.031746031746031744,0.01020408163265306,12.359580515222568,11.143219891712706,12.338668695029135,11.120506930907325,4.456503744801673,0.3455079109990038,150000.0,2900.0
0,24,8,known,3,100.0,300.0,150.0,2094.943643915093,100.53362797711394,2092.530014319032,1519.7077761881685,52.43018641548283,1518.803081561012,1.0,1.0,26.0,1419.5270191968334,178.69719343101303,92.95117897447108,882.0,882.0,2470.266729148536,122.61152821492634,2467.221945080541,6195.181696894045,-3724.914967745509,4.200668760584236,-3726.828032591116,0.04195011337868481,0.01020408163265306,11.505999512220559,8.054271088536588,11.482258096360813,8.021125493780808,3.067027049368124,0.30042979000063497,150000.0,2900.0
0,25,8,known,3,100.0,300.0,150.0,1537.5973505190393,47.08053737736737,1536.8763890838547,954.7370989946471,54.05859730941841,953.2054323458574,1.0,1.0,44.0,1899.2094180664442,133.06967451005573,75.83434869654005,882.0,882.0,2514.8850018698545,123.56027388528642,2511.8478121389703,5442.638597117662,-2927.753595247808,8.683744503742332,-2929.5783135960996,0.05442176870748299,0.011337868480725623,11.882033039991589,10.918429707353251,11.860615144323468,10.89313827933077,2.303339462978043,0.3407126870006323,150000.0,2900.0
0,26,8,known,3,100.0,300.0,150.0,2535.5971199514775,114.79518566986982,2532.997200956457,1199.0458263599608,66.46875483927023,1197.2020708056589,1.0,1.0,32.0,845.0795016200603,297.2200154347168,80.59990329130649,882.0,882.0,3567.5862742510462,147.2853972414063,3564.5446884537587,5600.328647950183,-2032.7423736991368,31.46065446443677,-2034.586100696658,0.034013605442176874,0.0045351473922902496,11.541218919007145,7.296447036123229,11.519170485580847,7.255210229683156,4.889484233338021,0.3280632429996331,150000.0,2900.0
