condition_id,trial_id,n_anchors,gauge,dof,sigma_r_mm,sigma_deploy_mm,sigma_v_mm,rmse_anchor_abs_mm,rmse_anchor_abs_h_mm,rmse_anchor_abs_v_mm,rmse_anchor_shape_mm,rmse_anchor_shape_h_mm,rmse_anchor_shape_v_mm,converged,rigidity_ok,iterations,rigidity_min_singular,rigidity_cond,rms_residual_mm,compute_time_s,r_max_mm,known_z_max_mm,height_pattern,unknown_z_std_mm
0,0,8,known,3,100.0,300.0,150.0,2187.160572021531,105.99036866397694,2184.5909021041048,1798.9489367173285,69.30642964046824,1797.6133888372376,1.0,1.0,34.0,1261.1015995638102,200.29398275254619,65.92293515114596,0.022864400001708418,150000.0,1500.0,,0.0
0,1,8,known,3,100.0,300.0,150.0,1810.1808219258744,80.7818989328429,1808.3774199190384,1638.0537384541328,66.13417811286646,1636.718155501703,1.0,1.0,41.0,1057.3064288845644,238.81279319408176,99.75987233388518,0.021815799991600215,150000.0,1500.0,,0.0
0,2,8,known,3,100.0,300.0,150.0,106.67985270965772,50.38771436958043,94.0301505622736,74.45800858223164,43.707895425255664,60.279473450973306,1.0,1.0,213.0,0.20307727938006243,1236995.4661921016,81.6570858968265,0.17882749997079372,150000.0,1500.0,,0.0
0,3,8,known,3,100.0,300.0,150.0,1391.9813532422029,70.5084360435261,1390.194464174236,1173.9776060714157,42.8605680932431,1173.1949502362754,1.0,1.0,76.0,788.183324850394,320.4340371811121,73.60869923340576,0.04600989999016747,150000.0,1500.0,,0.0
0,4,8,known,3,100.0,300.0,150.0,2063.424375578248,66.88365270730199,2062.340110343348,1347.6006772999076,52.316075109743714,1346.584796343803,1.0,1.0,43.0,1247.5709098093548,202.72742324345612,78.90572842361507,0.025189699954353273,150000.0,1500.0,,0.0
0,5,8,known,3,100.0,300.0,150.0,2251.5883060260558,97.66024174865615,2249.469354540061,1427.5270099603952,53.530471186531244,1426.5229941438079,1.0,1.0,33.0,1346.8408416356663,187.60002473295376,87.29271019623214,0.017347600020002574,150000.0,1500.0,,0.0
0,6,8,known,3,100.0,300.0,150.0,2988.976906408141,89.24570521669098,2987.6442477546675,1319.4285372330366,58.24023087450022,1318.1425341641152,1.0,1.0,40.0,1732.8990564981493,145.14279893059862,61.64065041938601,0.018379799963440746,150000.0,1500.0,,0.0
0,7,8,known,3,100.0,300.0,150.0,3115.873868323776,100.23603148674127,3114.261180648592,1379.149413969472,31.029214468262857,1378.8003096539474,1.0,1.0,74.0,1814.4385971280124,139.3222351341867,67.2379534546977,0.053769799997098744,150000.0,1500.0,,0.0
0,8,8,known,3,100.0,300.0,150.0,1349.8512453324852,76.35099210081285,1347.6902131168288,1187.1700003908707,47.38642016856128,1186.2238983478912,1.0,1.0,47.0,826.3308427195151,305.87461986436,95.89088856412916,0.024215999990701675,150000.0,1500.0,,0.0
0,9,8,known,3,100.0,300.0,150.0,3799.0400968247322,173.66616748679422,3795.068605381531,1514.528507605982,71.61994253965261,1512.834156205438,1.0,1.0,68.0,2250.4310764536135,112.23720197003922,69.44399011211533,0.039029099978506565,150000.0,1500.0,,0.0
0,10,8,known,3,100.0,300.0,150.0,2708.367630749184,102.97137378137388,2706.4094515559773,1084.760456036848,43.785210611152706,1083.8764239123423,1.0,1.0,52.0,1634.9789311002355,154.50978822520136,66.59400431319702,0.02943680004682392,150000.0,1500.0,,0.0
0,11,8,known,3,100.0,300.0,150.0,2384.321148831248,101.84408882296339,2382.1450674414823,1031.73819449709,40.752243029218526,1030.933051498594,1.0,1.0,58.0,1425.5729192495378,177.3768743680262,73.74087224592793,0.03716589999385178,150000.0,1500.0,,0.0
0,12,8,known,3,100.0,300.0,150.0,1007.4326756719935,41.01493358926711,1006.5974226245067,326.25781911529873,37.2450359865935,324.1249324384478,1.0,1.0,436.0,587.2972781453785,430.05269925651874,63.04308924006575,0.523040400003083,150000.0,1500.0,,0.0
0,13,8,known,3,100.0,300.0,150.0,1299.2893359546822,42.13645654792885,1298.6059054059253,1021.3149929243898,26.913427179351004,1020.9603235236949,1.0,1.0,128.0,794.1938034299086,319.19687243119336,94.86039727797481,0.16386179998517036,150000.0,1500.0,,0.0
0,14,8,known,3,100.0,300.0,150.0,1505.364008640411,108.33152091847184,1501.460981872462,1095.2291029934129,80.62496123270202,1092.2574804825008,1.0,1.0,45.0,879.5442195191881,287.7928344387573,92.77400810935244,0.04446900001494214,150000.0,1500.0,,0.0
0,15,8,known,3,100.0,300.0,150.0,2011.323196057072,67.68264233345299,2010.1840858299513,1079.9470162032565,32.3119032534989,1079.463523568283,1.0,1.0,107.0,1194.2025416256029,210.94479809730592,84.57194299785236,0.10884669999359176,150000.0,1500.0,,0.0
0,16,8,known,3,100.0,300.0,150.0,2726.4774005800086,132.21853385022413,2723.2695928203693,1477.7710301057791,65.37610373685062,1476.3242131998254,1.0,1.0,60.0,1590.5446329272631,157.73760200488462,64.32136086272529,0.04913580004358664,150000.0,1500.0,,0.0
0,17,8,known,3,100.0,300.0,150.0,2797.9276206359878,77.62209111242225,2796.8506898454725,1586.0601977521485,53.377123497431555,1585.1617688995416,1.0,1.0,34.0,1661.953095262051,152.49617367045886,108.05384518590823,0.0390864999499172,150000.0,1500.0,,0.0
0,18,8,known,3,100.0,300.0,150.0,4226.859158825021,165.8937729337899,4223.6024439623525,1069.8790352123426,32.46617824460617,1069.386318061477,1.0,1.0,107.0,2486.3032374526956,101.52596968387621,91.7517148574644,0.15767899999627843,150000.0,1500.0,,0.0
0,19,8,known,3,100.0,300.0,150.0,3696.4989329086156,175.22711028541113,3692.3434050499095,1222.4313379317323,87.88984654264749,1219.267710895468,1.0,1.0,66.0,2174.518066714302,115.9233619189374,65.73558850080651,0.10942250001244247,150000.0,1500.0,,0.0
0,20,8,known,3,100.0,300.0,150.0,1797.9593216219384,71.66473256542636,1796.5305141615454,953.9357811674256,35.32040750242039,953.2816705493551,1.0,1.0,40.0,1045.8095063419112,242.0486611144845,71.14141939123189,0.04894629999762401,150000.0,1500.0,,0.0
0,21,8,known,3,100.0,300.0,150.0,4371.95527570114,148.39359212584762,4369.436150643126,1392.1868513297122,47.66327081864766,1391.3707060414226,1.0,1.0,37.0,2492.576524905701,101.21719840431818,76.6364280239175,0.03381639998406172,150000.0,1500.0,,0.0
0,22,8,known,3,100.0,300.0,150.0,1534.7801437259066,91.68513342752036,1532.0391398014908,581.6094610410775,57.36997890979502,578.7730562944187,1.0,1.0,298.0,851.248045973338,296.44458900426207,85.54804966822779,0.6740408999612555,150000.0,1500.0,,0.0
0,23,8,known,3,100.0,300.0,150.0,658.9747309821012,52.02940376631012,656.9175269519416,315.68242336743236,36.507584287584535,313.5643294646566,1.0,1.0,847.0,407.4469199737297,619.3461210903985,93.48369281165691,0.9316535999532789,150000.0,1500.0,,0.0
0,24,8,known,3,100.0,300.0,150.0,2232.1005140328225,96.69680470370496,2230.005029748965,1667.8291719592494,52.88976597997406,1666.9903477503578,1.0,1.0,40.0,1330.4607539532296,190.65936210021383,93.70680449803302,0.023068300040904433,150000.0,1500.0,,0.0
0,25,8,known,3,100.0,300.0,150.0,2701.2047490290065,61.63856264904278,2700.501394884183,1063.1897924055336,56.8533383301166,1061.6686077096012,1.0,1.0,83.0,1561.2997258710332,161.8696563395028,76.16236169285902,0.04890930000692606,150000.0,1500.0,,0.0
0,26,8,known,3,100.0,300.0,150.0,1354.6105262116625,78.65245856937462,1352.3252081080313,1154.8651607177908,66.91895310216837,1152.92471270046,1.0,1.0,37.0,826.0862371714647,304.05403584210535,82.4905915082614,0.019814700004644692,150000.0,1500.0,,0.0
0,27,8,known,3,100.0,300.0,150.0,1015.4386785166581,80.41517058024357,1012.2495295964366,1009.1006841637283,53.277013208858385,1007.6932820274469,1.0,1.0,40.0,608.4083598406194,414.3826788450123,81.97507485919097,0.030507100047543645,150000.0,1500.0,,0.0
0,28,8,known,3,100.0,300.0,150.0,2477.099341733673,88.21342270061417,2475.5281337267893,591.76388665915,35.88597340761146,590.6747789321392,1.0,1.0,262.0,1426.1907330583906,176.50445207623957,83.74581137144779,0.25375149998581037,150000.0,1500.0,,0.0
0,29,8,known,3,100.0,300.0,150.0,3243.660010251483,102.60062027911364,3242.0369175601613,1562.9115958421146,42.464967985319724,1562.3345937768104,1.0,1.0,43.0,1842.2003272869956,137.358418175677,69.40685207115331,0.04115270002512261,150000.0,1500.0,,0.0
0,30,8,known,3,100.0,300.0,150.0,1623.534834255901,84.48609122339005,1621.335085178918,1188.4930505828893,38.98730909802989,1187.8534088906413,1.0,1.0,41.0,948.906071296354,266.2309803239486,81.62574371931005,0.027710800000932068,150000.0,1500.0,,0.0
0,31,8,known,3,100.0,300.0,150.0,2556.3172762745903,119.9744519760806,2553.500371617944,1161.0668075687156,67.30976917569461,1159.1141128514155,1.0,1.0,40.0,1507.2397571756146,166.56289786231395,84.63824717868305,0.036040599981788546,150000.0,1500.0,,0.0
0,32,8,known,3,100.0,300.0,150.0,5084.865161447425,238.72100748774102,5079.258409520605,1600.5429356260709,67.57971779861596,1599.1155901074758,1.0,1.0,128.0,2989.069237719159,84.49866499024611,87.06022262102678,0.12680369999725372,150000.0,1500.0,,0.0
0,33,8,known,3,100.0,300.0,150.0,3422.600954669017,134.99421811319274,3419.937697674809,1213.2096614863285,55.44078414921191,1211.942243746249,1.0,1.0,28.0,1996.5535534996047,126.46950266261835,60.595855016541066,0.02937290002591908,150000.0,1500.0,,0.0
0,34,8,known,3,100.0,300.0,150.0,1722.7696322684803,99.99001099924746,1719.8654608913005,1327.0995861256429,64.14653010667686,1325.5483899768149,1.0,1.0,37.0,1038.3011338903038,242.70567605707623,74.60019880404617,0.030755900021176785,150000.0,1500.0,,0.0
0,35,8,known,3,100.0,300.0,150.0,4102.528800476268,204.8453407515344,4097.411493261279,1344.4678344375054,59.04254426007828,1343.170776857646,1.0,1.0,37.0,2444.8198936428644,103.0074023726293,62.12009522667542,0.03848119999747723,150000.0,1500.0,,0.0
0,36,8,known,3,100.0,300.0,150.0,3541.4312987379,158.0757740754753,3537.9015946364098,1377.1819065780182,52.25257126050556,1376.1902748539285,1.0,1.0,45.0,2120.1415205483686,118.94938936729413,67.53183064142034,0.038504900003317744,150000.0,1500.0,,0.0
0,37,8,known,3,100.0,300.0,150.0,4221.44914010711,197.22017653035664,4216.839698693845,901.4499544925995,49.19774882855898,900.1064392419999,1.0,1.0,77.0,2450.034692576118,103.05169135551444,94.97549840060734,0.07267369999317452,150000.0,1500.0,,0.0
0,38,8,known,3,100.0,300.0,150.0,1588.3902636093724,90.48661259292679,1585.810771331343,1334.3273010483726,76.3081844531621,1332.1435385529958,1.0,1.0,38.0,923.4525613619611,273.64931626516807,70.56785219636797,0.023969999980181456,150000.0,1500.0,,0.0
0,39,8,known,3,100.0,300.0,150.0,1005.2493597230592,60.82622909467154,1003.4074172925688,837.5810354281325,44.464808661236596,836.3999472140001,1.0,1.0,38.0,562.2659870528553,450.51592285160837,78.65431305108191,0.02022860001306981,150000.0,1500.0,,0.0
0,40,8,known,3,100.0,300.0,150.0,1145.4114102491549,78.73540946195575,1142.702075794831,788.8047451308136,63.63827521886035,786.2334868651019,1.0,1.0,68.0,655.411808882394,384.1601088510325,74.53822672050467,0.05333819997031242,150000.0,1500.0,,0.0
0,41,8,known,3,100.0,300.0,150.0,2280.4898882357975,121.43366668902716,2277.254486204864,1668.4950615422752,75.01912138944411,1666.8076979114644,1.0,1.0,35.0,1323.7849014108347,190.16222373988418,73.92220815354439,0.024713999999221414,150000.0,1500.0,,0.0
0,42,8,known,3,100.0,300.0,150.0,1209.991784671262,52.59246052140991,1208.8482750404407,989.0413894245894,48.15392233258913,987.8684475976087,1.0,1.0,45.0,740.4232436391694,339.7034459535053,60.92185340517178,0.029748199973255396,150000.0,1500.0,,0.0
0,43,8,known,3,100.0,300.0,150.0,2311.3971651343672,121.11962393296491,2308.2215863494407,1383.540436946988,52.65287459748968,1382.5381786641856,1.0,1.0,74.0,1345.3135220455522,186.84511440925075,62.2083156411268,0.05317910003941506,150000.0,1500.0,,0.0
0,44,8,known,3,100.0,300.0,150.0,991.031105629104,39.97086516691605,990.22471301329,587.2916158723623,28.07059138810836,586.6203917126408,1.0,1.0,80.0,616.1343872769356,410.7576256727349,93.25060134041327,0.05945130001055077,150000.0,1500.0,,0.0
0,45,8,known,3,100.0,300.0,150.0,1719.335826607757,60.066210456966715,1718.2862785398477,953.8371319041449,39.9998928946062,952.9980497186473,1.0,1.0,36.0,1006.7710104084878,250.62562729695185,67.6398391965522,0.024952799954917282,150000.0,1500.0,,0.0
0,46,8,known,3,100.0,300.0,150.0,4573.555702787497,190.7352849332059,4569.5767656952075,1062.6491211926182,59.21322838476733,1060.9980906465842,1.0,1.0,35.0,2658.877143224977,95.49528635985004,81.00880389313525,0.025348099996335804,150000.0,1500.0,,0.0
0,47,8,known,3,100.0,300.0,150.0,1474.2413423705984,71.22376137325394,1472.5198509257896,1155.1790178146,60.94701067812981,1153.5701214440776,1.0,1.0,38.0,837.8990167711669,300.8992245962299,80.44475830139086,0.021500299975741655,150000.0,1500.0,,0.0
0,48,8,known,3,100.0,300.0,150.0,3131.837248727298,107.6664554337114,3129.9860202387663,901.9424916113137,53.97576006886515,900.325982907865,1.0,1.0,45.0,1785.2117686926613,141.19117441136166,79.78226403850678,0.021936199977062643,150000.0,1500.0,,0.0
0,49,8,known,3,100.0,300.0,150.0,3125.2386387854967,112.59166034452525,3123.209834029518,1119.6986334838448,55.59759584174195,1118.317458131727,1.0,1.0,41.0,1801.998069508466,140.25687868327347,61.56171525203905,0.024214599980041385,150000.0,1500.0,,0.0
0,50,8,known,3,100.0,300.0,150.0,1409.9442832740365,86.31587555157186,1407.2997021121346,1177.1529876597415,51.54174176790183,1176.0240665954868,1.0,1.0,40.0,816.8306860420662,308.53976410577314,67.62353723924157,0.03908899996895343,150000.0,1500.0,,0.0
0,51,8,known,3,100.0,300.0,150.0,2742.9792753074157,105.72979692469266,2740.9408083372136,1188.3129134651824,45.93920368803892,1187.424595447062,1.0,1.0,42.0,1542.1005446587903,163.55199162124057,49.720708812546874,0.02822760003618896,150000.0,1500.0,,0.0
0,52,8,known,3,100.0,300.0,150.0,1615.7179615676844,162.45012404701973,1607.5305560173783,1423.6677863721047,104.54618552686372,1419.8239542441281,1.0,1.0,39.0,958.7038395402186,263.35364538263036,86.09098041267524,0.03817489999346435,150000.0,1500.0,,0.0
